nro,launchDate,name,contractor,class,subType,ejector,missionType,missionStatus,functionalStatus,launchVehicle
1,2/6/2000,PICOSAT 1&2 (TETHERED),Aerospace Corporation,mil,Opal,Opal,T,5,N,Minotaur-1
2,2/10/2000,PICOSAT 6 (StenSat),Stensat Group. LLC,civ,Opal,Opal,C,2,N,Minotaur-1
3,2/10/2000,PICOSAT 3 (JAK),Santa Clara University,uni,Opal,Opal,E,2,N,Minotaur-1
4,2/12/2000,PICOSAT 5 (Louise),Santa Clara University,uni,Opal,Opal,S,2,N,Minotaur-1
5,2/12/2000,PICOSAT 4 (Thelma),Santa Clara University,uni,Opal,Opal,S,2,N,Minotaur-1
6,9/6/2001,PICOSAT 7&8 (TETHERED),Aerospace Corporation,mil,Opal,Opal,T,2,D,Minotaur-1
7,12/2/2002,MEPSI,Aerospace Corporation,mil,2U,SSPL,T,2,D,Shuttle
8,6/30/2003,QUAKESAT 1,Stanford University,uni,3U,PPOD,S,5,N,Rokot-KM
9,6/30/2003,DTUSAT 1,Technical University of Denmark,uni,1U,PPOD,E,2,N,Rokot-KM
10,6/30/2003,CUTE-1 (CO-55),Tokyo Institute of Technology,uni,1U,PPOD,E,3,N,Rokot-KM
11,6/30/2003,CUBESAT XI-IV (CO-57),University of Tokyo,uni,1U,PPOD,E,4,S,Rokot-KM
12,6/30/2003,CANX-1,UTIAS (University of Toronto),uni,1U,PPOD,E,2,N,Rokot-KM
13,6/30/2003,AAU CUBESAT 1,University of Aalborg,uni,1U,PPOD,E,2,N,Rokot-KM
14,10/27/2005,UWE-1,University of Würzburg,uni,1U,TPOD,E,3,N,Kosmos-3M
15,10/27/2005,Ncube 2,Norweigan Universities,uni,1U,TPOD,E,2,N,Kosmos-3M
16,10/27/2005,CUBESAT XI-V (CO-58),University of Tokyo,uni,1U,TPOD,E,5,N,Kosmos-3M
17,2/21/2006,CUTE 1.7,Tokyo Institute of Technology,uni,2U,JPOD,C,2,D,M-5 (2)
18,7/26/2006,SEEDS,Nihon University,uni,1U,PPOD,E,1,D,Dnepr-1
19,7/26/2006,SACRED,University of Arizona,uni,1U,PPOD,E,1,D,Dnepr-1
20,7/26/2006,Rincon 1,University of Arizona,uni,1U,PPOD,E,1,D,Dnepr-1
21,7/26/2006,Ncube 1,Norweigan Universities,uni,1U,PPOD,E,1,D,Dnepr-1
22,7/26/2006,Mea Huaka'I (Voyager),University of Hawaii,uni,1U,PPOD,E,1,D,Dnepr-1
