Launch Date,Name,Launch Site,Contractor,Class,Sub-type,Ejector,Mission Type,Mission Status,Functional Status,Launch Vehicle
2/6/2000,PICOSAT 1&2 (TETHERED),AFWTR,Aerospace Corporation,mil,Opal,Opal,T,5,N,Minotaur-1
2/10/2000,PICOSAT 3 (JAK),AFWTR,Santa Clara University,uni,Opal,Opal,E,2,N,Minotaur-1
2/10/2000,PICOSAT 6 (StenSat),AFWTR,Stensat Group. LLC,civ,Opal,Opal,C,2,N,Minotaur-1
2/12/2000,PICOSAT 4 (Thelma),AFWTR,Santa Clara University,uni,Opal,Opal,S,2,N,Minotaur-1
2/12/2000,PICOSAT 5 (Louise),AFWTR,Santa Clara University,uni,Opal,Opal,S,2,N,Minotaur-1
9/6/2001,PICOSAT 7&8 (TETHERED),AFWTR,Aerospace Corporation,mil,Opal,Opal,T,2,D,Minotaur-1
12/2/2002,MEPSI,AFETR,Aerospace Corporation,mil,2U,SSPL,T,2,D,Shuttle
6/30/2003,DTUSAT 1,PKMTR,Technical University of Denmark,uni,1U,PPOD,E,2,N,Rokot-KM
6/30/2003,CUTE-1 (CO-55),PKMTR,Tokyo Institute of Technology,uni,1U,PPOD,E,3,N,Rokot-KM
6/30/2003,QUAKESAT 1,PKMTR,Stanford University,uni,3U,PPOD,S,5,N,Rokot-KM
6/30/2003,AAU CUBESAT 1,PKMTR,University of Aalborg,uni,1U,PPOD,E,2,N,Rokot-KM
6/30/2003,CANX-1,PKMTR,UTIAS (University of Toronto),uni,1U,PPOD,E,2,N,Rokot-KM
6/30/2003,CUBESAT XI-IV (CO-57),PKMTR,University of Tokyo,uni,1U,PPOD,E,4,S,Rokot-KM
10/27/2005,UWE-1,PKMTR,University of Würzburg,uni,1U,TPOD,E,3,N,Kosmos-3M
10/27/2005,CUBESAT XI-V (CO-58),PKMTR,University of Tokyo,uni,1U,TPOD,E,5,N,Kosmos-3M
10/27/2005,Ncube 2,PKMTR,Norweigan Universities,uni,1U,TPOD,E,2,N,Kosmos-3M
2/21/2006,CUTE 1.7,KSCUT,Tokyo Institute of Technology,uni,2U,JPOD,C,2,D,M-5 (2)
7/26/2006,CP 1 (K7RR-Sat),TTMTR,Cal Poly,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,CP 2,TTMTR,Cal Poly,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,HAUSAT 1,TTMTR,Hankuk Aviation University,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,ICECube 1,TTMTR,Cornell University,uni,1U,PPOD,S,1,D,Dnepr-1
7/26/2006,ICECube 2,TTMTR,Cornell University,uni,1U,PPOD,S,1,D,Dnepr-1
7/26/2006,ION,TTMTR,University of Illinois,uni,2U,PPOD,S,1,D,Dnepr-1
7/26/2006,KUTESat Pathfinder,TTMTR,University of Kansas,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,Mea Huaka'I (Voyager),TTMTR,University of Hawaii,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,MEROPE,TTMTR,Montana State University,uni,1U,PPOD,S,1,D,Dnepr-1
7/26/2006,Ncube 1,TTMTR,Norweigan Universities,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,Rincon 1,TTMTR,University of Arizona,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,SACRED,TTMTR,University of Arizona,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,SEEDS,TTMTR,Nihon University,uni,1U,PPOD,E,1,D,Dnepr-1
7/26/2006,AeroCube 1,TTMTR,Aerospace Corporation,mil,1U,PPOD,T,1,D,Dnepr-1
9/22/2006,HITSAT (HO-59),KSCUT,Hokkaido Institute of Technology,uni,1U,JPOD,E,4,D,M-5 (2)
12/16/2006,GENESAT (GeneSat 1),WLPIS,NASA Ames,civ,3U,PPOD,S,5,D,Minotaur-1
12/20/2006,MEPSI (MEPSI 2A),AFETR,Aerospace Corporation,mil,2U,SSPL,T,5,D,Shuttle
12/20/2006,RAFT (NO 60),AFETR,US Naval Academy,uni,1U,SSPL,C,5,D,Shuttle
12/20/2006,MARSCOM,AFETR,US Naval Academy,uni,1U,SSPL,C,5,D,Shuttle
4/17/2007,CSTB 1,TTMTR,Boeing,com,1U,PPOD,T,5,S,Dnepr-1
4/17/2007,MAST,TTMTR,Tethers Unlimited. Inc.; Pumpkin. Inc. (bus),com,3U,PPOD,T,2,N,Dnepr-1
4/17/2007,LIBERTAD 1,TTMTR,University of Sergio Arboleda,uni,1U,PPOD,E,2,N,Dnepr-1
4/17/2007,CP3,TTMTR,Cal Poly,uni,1U,PPOD,E,2,S,Dnepr-1
4/17/2007,CAPE 1,TTMTR,University of Louisiana,uni,1U,PPOD,E,3,N,Dnepr-1
4/17/2007,CP4,TTMTR,Cal Poly,uni,1U,PPOD,E,3,N,Dnepr-1
4/17/2007,AEROCUBE 2,TTMTR,Aerospace Corporation,com,1U,PPOD,T,2,N,Dnepr-1
4/28/2008,COMPASS 1,SRI,Fachhochschule Aachen,uni,1U,XPOD,E,5,N,PSLV-CA
4/28/2008,AAUSAT 2,SRI,University of Aalborg,uni,1U,XPOD,E,5,S,PSLV-CA
4/28/2008,DELFI C3 (DO-64),SRI,Technical University of Delft,uni,3U,XPOD,T,5,A,PSLV-CA
4/28/2008,CANX 2,SRI,UTIAS (University of Toronto),uni,3U,XPOD,T,5,A,PSLV-CA
4/28/2008,SEEDS 2 (CO-66),SRI,Nihon University,uni,1U,XPOD,E,5,A,PSLV-CA
8/2/2008,PreSat,KWAJ,NASA Ames,civ,3U,PPOD,T,1,A,Falcon-1
